id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,11617,5506,94.9,95.5,86.4,23.70,23.70,0.00,873,2519,2372,4630,100.00,100.00,100.00,100.00,13.307,4.612,4.898,2.509
values_19,17583,9134,96.6,97.0,89.0,25.97,25.97,0.00,1293,3845,3619,6882,100.00,100.00,100.00,100.00,13.599,4.573,4.859,2.555
values_12,12778,6128,95.3,95.9,87.5,23.98,23.98,0.00,993,2864,2706,5226,100.00,100.00,100.00,100.00,12.868,4.462,4.722,2.445
values_38,22324,11726,97.3,97.8,89.3,26.26,26.26,0.00,1713,5178,4866,9120,100.00,100.00,100.00,100.00,13.032,4.311,4.588,2.448
values_81,15137,7384,96.0,96.6,88.7,24.39,24.39,0.00,1233,3682,3458,6596,100.00,100.00,100.00,100.00,12.277,4.111,4.377,2.295
values_5,8021,3302,91.0,91.7,81.0,20.58,20.58,0.00,429,1187,1114,7665,100.00,100.00,100.00,100.00,18.697,6.757,7.200,1.046
values_40,13581,6846,95.5,96.1,86.9,25.20,25.20,0.00,933,2709,2551,4955,100.00,100.00,100.00,100.00,14.556,5.013,5.324,2.741
values_70,16157,8345,96.3,96.8,88.0,25.82,25.82,0.00,1173,3481,3273,6262,100.00,100.00,100.00,100.00,13.774,4.641,4.936,2.580
values_23,12854,6052,94.2,94.7,86.3,23.54,23.54,0.00,813,2338,2199,24724,100.00,100.00,100.00,100.00,15.811,5.498,5.845,0.520
values_72,5950,2306,89.1,89.8,76.4,19.38,19.38,0.00,225,592,554,2456,100.00,100.00,100.00,100.00,26.444,10.051,10.740,2.423
values_79,16121,8324,96.3,96.8,87.9,25.82,25.82,0.00,1173,3454,3255,6223,100.00,100.00,100.00,100.00,13.743,4.667,4.953,2.591
values_78,21951,11580,97.2,97.7,89.7,26.38,26.38,0.00,1653,4994,4693,8814,100.00,100.00,100.00,100.00,13.279,4.395,4.677,2.490
values_87,6892,2763,90.3,90.9,80.7,20.04,20.04,0.00,321,860,806,4515,100.00,100.00,100.00,100.00,21.470,8.014,8.551,1.526
values_6,21059,11090,97.1,97.6,89.4,26.33,26.33,0.00,1593,4730,4466,8389,100.00,100.00,100.00,100.00,13.220,4.452,4.715,2.510
values_68,12760,6114,95.3,95.9,87.2,23.96,23.96,0.00,993,2891,2724,5265,100.00,100.00,100.00,100.00,12.850,4.414,4.684,2.424
values_69,5056,1855,87.5,88.3,73.6,18.34,18.34,0.00,129,317,296,982,100.00,100.00,100.00,100.00,39.194,15.950,17.081,5.149
values_1,4677,1650,86.1,87.2,65.6,17.64,17.64,0.00,87,205,192,532,100.00,100.00,87.50,100.00,53.759,22.815,24.359,8.791
values_45,11711,5562,94.9,95.6,86.6,23.75,23.75,0.00,873,2537,2384,4656,100.00,100.00,100.00,100.00,13.415,4.616,4.912,2.515
values_33,6919,2769,90.2,90.8,80.5,20.01,20.01,0.00,321,869,812,4566,100.00,100.00,100.00,100.00,21.555,7.962,8.521,1.515
values_15,3732,1259,84.4,85.8,53.4,16.87,16.87,0.00,45,94,88,211,100.00,100.00,81.25,100.00,82.933,39.702,42.409,17.687
values_93,12907,6057,94.1,94.6,86.5,23.46,23.46,0.00,813,2365,2217,25126,100.00,100.00,100.00,100.00,15.876,5.458,5.822,0.514
values_24,21208,11170,97.1,97.6,89.6,26.33,26.33,0.00,1593,4784,4502,8467,100.00,100.00,100.00,100.00,13.313,4.433,4.711,2.505
values_25,16220,8381,96.3,96.8,88.2,25.84,25.84,0.00,1173,3481,3273,6262,100.00,100.00,100.00,100.00,13.828,4.660,4.956,2.590
values_26,5964,2306,89.0,89.8,76.4,19.33,19.33,0.00,225,592,554,2456,100.00,100.00,100.00,100.00,26.507,10.074,10.765,2.428
values_48,9073,3840,92.0,92.6,82.7,21.16,21.16,0.00,537,1489,1404,11316,100.00,100.00,100.00,100.00,16.896,6.093,6.462,0.802
