id,clockCycles,assemblyInstr,Cache,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,1653,1653,"['961018', '8845114', '126682', '1107148', '65049', '552242', '568399', '50.030', '12573496', '0', '3876843', '0', '161089', '0', '0', '4.155']",225,762,620,759,100.00,100.00,100.00,100.00,7.347,2.169,2.666,2.178
values_19,8601,8601,"['962652', '8848397', '127184', '1109444', '65120', '552447', '568624', '49.940', '12610522', '0', '3888791', '0', '162097', '0', '0', '4.168']",1713,6794,5631,6510,100.00,100.00,100.00,100.00,5.021,1.266,1.527,1.321
values_12,3786,3786,"['961496', '8845920', '126831', '1109003', '65073', '552259', '568437', '49.953', '12596440', '0', '3883976', '0', '161419', '0', '0', '4.156']",699,2632,2164,2551,100.00,100.00,100.00,100.00,5.416,1.438,1.750,1.484
values_38,4025,4025,"['961510', '8846036', '126844', '1109011', '65078', '552261', '568442', '49.952', '12597154', '0', '3884215', '0', '161482', '0', '0', '4.157']",753,2859,2350,2765,100.00,100.00,100.00,100.00,5.345,1.408,1.713,1.456
values_81,2051,2051,"['961122', '8845262', '126710', '1107176', '65049', '552242', '568400', '50.028', '12574636', '0', '3877241', '0', '161150', '0', '0', '4.156']",321,1109,904,1091,100.00,100.00,100.00,100.00,6.389,1.849,2.269,1.880
values_5,3059,3059,"['961346', '8845612', '126780', '1108935', '65072', '552267', '568439', '49.958', '12594296', '0', '3883248', '0', '161334', '0', '0', '4.155']",537,1973,1620,1921,100.00,100.00,100.00,100.00,5.696,1.550,1.888,1.592
values_40,6573,6573,"['962176', '8847229', '127036', '1109267', '65129', '552426', '568598', '49.952', '12604636', '0', '3886762', '0', '161830', '0', '0', '4.164']",1293,5041,4175,4872,100.00,100.00,100.00,100.00,5.084,1.304,1.574,1.349
values_70,4876,4876,"['961826', '8846394', '126918', '1107441', '65107', '552325', '568511', '50.020', '12582960', '0', '3880065', '0', '161594', '0', '0', '4.165']",933,3563,2942,3461,100.00,100.00,100.00,100.00,5.226,1.369,1.657,1.409
values_23,8035,8035,"['962530', '8848041', '127147', '1109396', '65122', '552454', '568622', '49.944', '12608890', '0', '3888225', '0', '162055', '0', '0', '4.168']",1593,6334,5248,6085,100.00,100.00,100.00,100.00,5.044,1.269,1.531,1.320
values_72,5153,5153,"['961752', '8846531', '126920', '1109122', '65106', '552326', '568520', '49.952', '12600452', '0', '3885342', '0', '161644', '0', '0', '4.160']",993,3796,3137,3666,100.00,100.00,100.00,100.00,5.189,1.357,1.643,1.406
values_79,6015,6015,"['962042', '8846937', '126996', '1109208', '65111', '552370', '568546', '49.950', '12602990', '0', '3886205', '0', '161743', '0', '0', '4.162']",1173,4566,3778,4405,100.00,100.00,100.00,100.00,5.128,1.317,1.592,1.365
values_78,2830,2830,"['961338', '8845512', '126770', '1108924', '65074', '552265', '568434', '49.959', '12593630', '0', '3883019', '0', '161289', '0', '0', '4.154']",483,1774,1455,1734,100.00,100.00,100.00,100.00,5.859,1.595,1.945,1.632
values_87,2830,2830,"['961336', '8845512', '126769', '1108924', '65073', '552266', '568435', '49.959', '12593622', '0', '3883019', '0', '161277', '0', '0', '4.153']",483,1765,1448,1723,100.00,100.00,100.00,100.00,5.859,1.603,1.954,1.642
values_6,2547,2547,"['961224', '8845424', '126743', '1108901', '65065', '552263', '568429', '49.960', '12592776', '0', '3882736', '0', '161236', '0', '0', '4.153']",429,1531,1255,1510,100.00,100.00,100.00,100.00,5.937,1.664,2.029,1.687
values_68,6653,6653,"['962190', '8847229', '127043', '1109267', '65125', '552444', '568610', '49.953', '12604928', '0', '3886842', '0', '161858', '0', '0', '4.164']",1293,5104,4224,4907,100.00,100.00,100.00,100.00,5.145,1.303,1.575,1.356
values_69,953,953,"['960850', '8844896', '126634', '1107110', '65026', '552265', '568400', '50.034', '12571498', '0', '3876143', '0', '160972', '0', '0', '4.153']",45,122,98,122,100.00,100.00,81.25,100.00,21.178,7.811,9.724,7.811
values_1,2055,2055,"['961126', '8845262', '126712', '1107176', '65048', '552243', '568400', '50.028', '12574668', '0', '3877245', '0', '161166', '0', '0', '4.157']",321,1127,918,1113,100.00,100.00,100.00,100.00,6.402,1.823,2.239,1.846
values_45,8599,8599,"['962654', '8848397', '127185', '1109444', '65121', '552446', '568624', '49.940', '12610526', '0', '3888789', '0', '162123', '0', '0', '4.169']",1713,6803,5638,6523,100.00,100.00,100.00,100.00,5.020,1.264,1.525,1.318
values_33,2836,2836,"['961340', '8845512', '126771', '1108924', '65074', '552265', '568434', '49.959', '12593654', '0', '3883025', '0', '161277', '0', '0', '4.153']",483,1783,1462,1741,100.00,100.00,100.00,100.00,5.872,1.591,1.940,1.629
values_15,8360,8360,"['962644', '8848213', '127174', '1109446', '65119', '552438', '568612', '49.939', '12609872', '0', '3888550', '0', '162139', '0', '0', '4.170']",1653,6586,5457,6322,100.00,100.00,100.00,100.00,5.057,1.269,1.532,1.322
values_93,5427,5427,"['961938', '8846655', '126959', '1107471', '65091', '552352', '568518', '50.018', '12584612', '0', '3880617', '0', '161660', '0', '0', '4.166']",1053,4082,3374,3953,100.00,100.00,100.00,100.00,5.154,1.329,1.608,1.373
values_24,7758,7758,"['962486', '8847867', '127128', '1109370', '65116', '552453', '568624', '49.945', '12608116', '0', '3887948', '0', '162078', '0', '0', '4.169']",1533,6073,5032,5833,100.00,100.00,100.00,100.00,5.061,1.277,1.542,1.330
values_25,3043,3043,"['961348', '8845612', '126781', '1108935', '65072', '552267', '568439', '49.958', '12594256', '0', '3883232', '0', '161334', '0', '0', '4.155']",537,1982,1627,1940,100.00,100.00,100.00,100.00,5.667,1.535,1.870,1.569
values_26,8390,8390,"['962644', '8848213', '127174', '1109446', '65118', '552437', '568610', '49.939', '12609956', '0', '3888580', '0', '162123', '0', '0', '4.169']",1653,6586,5457,6304,100.00,100.00,100.00,100.00,5.076,1.274,1.537,1.331
values_48,7477,7477,"['962408', '8847711', '127107', '1107665', '65133', '552443', '568618', '50.015', '12590626', '0', '3882666', '0', '161992', '0', '0', '4.172']",1473,5840,4837,5616,100.00,100.00,100.00,100.00,5.076,1.280,1.546,1.331
values_71,8356,8356,"['962638', '8848213', '127171', '1109446', '65123', '552446', '568616', '49.940', '12609828', '0', '3888546', '0', '162123', '0', '0', '4.169']",1653,6559,5436,6287,100.00,100.00,100.00,100.00,5.055,1.274,1.537,1.329
values_76,7463,7463,"['962402', '8847711', '127104', '1107665', '65132', '552444', '568616', '50.016', '12590558', '0', '3882652', '0', '161978', '0', '0', '4.172']",1473,5813,4816,5589,100.00,100.00,100.00,100.00,5.067,1.284,1.550,1.335
values_7,4643,4643,"['961674', '8846270', '126890', '1109079', '65096', '552314', '568505', '49.954', '12598980', '0', '3884832', '0', '161575', '0', '0', '4.159']",873,3358,2768,3239,100.00,100.00,100.00,100.00,5.318,1.383,1.677,1.433
values_50,1275,1275,"['960872', '8845006', '126648', '1107134', '65024', '552267', '568402', '50.032', '12572420', '0', '3876464', '0', '161035', '0', '0', '4.154']",129,408,329,408,100.00,100.00,100.00,100.00,9.884,3.125,3.875,3.125
values_22,4918,4918,"['961792', '8846395', '126916', '1107442', '65120', '552323', '568515', '50.021', '12583116', '0', '3880107', '0', '161618', '0', '0', '4.165']",933,3590,2963,3468,100.00,100.00,100.00,100.00,5.271,1.370,1.660,1.418
values_4,2322,2322,"['961190', '8845334', '126729', '1108882', '65064', '552264', '568424', '49.961', '12592130', '0', '3882511', '0', '161214', '0', '0', '4.152']",375,1324,1083,1306,100.00,100.00,100.00,100.00,6.192,1.754,2.144,1.778
values_32,4892,4892,"['961828', '8846394', '126919', '1107441', '65107', '552325', '568511', '50.020', '12583008', '0', '3880081', '0', '161618', '0', '0', '4.165']",933,3572,2949,3460,100.00,100.00,100.00,100.00,5.243,1.370,1.659,1.414
values_77,961,961,"['960850', '8844896', '126634', '1107110', '65026', '552265', '568400', '50.034', '12571516', '0', '3876151', '0', '160972', '0', '0', '4.153']",45,122,98,120,100.00,100.00,81.25,100.00,21.356,7.877,9.806,8.008
values_91,5725,5725,"['961926', '8846797', '126968', '1109168', '65098', '552362', '568534', '49.951', '12602114', '0', '3885915', '0', '161694', '0', '0', '4.161']",1113,4306,3562,4147,100.00,100.00,100.00,100.00,5.144,1.330,1.607,1.381
values_42,3250,3250,"['961346', '8845710', '126789', '1108955', '65079', '552260', '568442', '49.957', '12594860', '0', '3883440', '0', '161342', '0', '0', '4.155']",591,2171,1785,2124,100.00,100.00,100.00,100.00,5.499,1.497,1.821,1.530
values_13,2571,2571,"['961228', '8845424', '126745', '1108901', '65065', '552263', '568429', '49.960', '12592864', '0', '3882760', '0', '161244', '0', '0', '4.153']",429,1549,1269,1520,100.00,100.00,100.00,100.00,5.993,1.660,2.026,1.691
values_41,3535,3535,"['961390', '8845816', '126808', '1108975', '65081', '552267', '568447', '49.956', '12595714', '0', '3883725', '0', '161395', '0', '0', '4.156']",645,2424,1992,2353,100.00,100.00,100.00,100.00,5.481,1.458,1.775,1.502
values_55,2083,2083,"['961130', '8845262', '126714', '1107176', '65049', '552242', '568400', '50.028', '12574764', '0', '3877273', '0', '161166', '0', '0', '4.157']",321,1145,932,1119,100.00,100.00,100.00,100.00,6.489,1.819,2.235,1.861
values_31,2798,2798,"['961330', '8845512', '126766', '1108924', '65074', '552265', '568434', '49.959', '12593502', '0', '3882987', '0', '161275', '0', '0', '4.153']",483,1738,1427,1706,100.00,100.00,100.00,100.00,5.793,1.610,1.961,1.640
values_66,2559,2559,"['961224', '8845424', '126743', '1108901', '65065', '552263', '568429', '49.960', '12592808', '0', '3882748', '0', '161248', '0', '0', '4.153']",429,1531,1255,1502,100.00,100.00,100.00,100.00,5.965,1.671,2.039,1.704
values_65,1663,1663,"['961020', '8845114', '126683', '1107148', '65048', '552243', '568399', '50.030', '12573532', '0', '3876853', '0', '161089', '0', '0', '4.155']",225,771,627,764,100.00,100.00,100.00,100.00,7.391,2.157,2.652,2.177
