inputName,text,data,bss
values_11,6858,2500,1472
values_19,6708,2516,1472
values_12,6700,2524,1472
values_38,6488,2500,1472
values_81,6712,2516,1472
values_5,6488,2500,1472
values_40,6702,2524,1472
values_70,6712,2516,1472
values_23,6708,2516,1472
values_72,6584,2500,1472
values_79,7106,2508,1472
values_78,6706,2524,1472
values_87,6486,2500,1472
values_6,6700,2524,1472
values_68,6704,2524,1472
values_69,6700,2524,1472
values_1,7428,2508,1472
values_45,6584,2500,1472
values_33,7428,2508,1472
values_15,6702,2524,1472
values_93,6704,2524,1472
values_24,6708,2516,1472
values_25,6704,2524,1472
values_26,7106,2508,1472
values_48,7668,2516,1472
values_71,7512,2508,1472
values_76,6702,2524,1472
values_7,6858,2500,1472
values_50,6708,2524,1472
values_22,7106,2508,1472
values_4,6702,2524,1472
values_32,7584,2508,1472
values_77,6702,2524,1472
values_91,6858,2500,1472
values_42,6700,2524,1472
values_13,6712,2516,1472
values_41,6700,2524,1472
values_55,6712,2516,1472
values_31,6488,2500,1472
values_66,7264,2508,1472
values_65,7264,2508,1472
values_62,7584,2508,1472
values_21,6702,2524,1472
values_95,6766,2500,1472
values_84,6584,2500,1472
values_58,6708,2524,1472
values_64,7668,2516,1472
values_83,6700,2524,1472
values_94,6678,2500,1472
values_0,7428,2508,1472
values_99,7026,2508,1472
values_96,6700,2524,1472
values_67,6678,2500,1472
values_61,7428,2508,1472
values_43,6700,2524,1472
values_2,6704,2524,1472
values_54,6700,2524,1472
values_30,6678,2500,1472
values_59,6486,2500,1472
values_85,6708,2524,1472
values_74,6938,2500,1472
values_90,6938,2500,1472
values_18,6712,2516,1472
values_52,7190,2508,1472
values_44,6700,2524,1472
values_17,6858,2500,1472
values_36,7584,2508,1472
values_49,6716,2516,1472
values_86,6704,2524,1472
values_37,6708,2516,1472
values_56,6706,2524,1472
values_63,7264,2508,1472
values_35,6706,2524,1472
values_97,6486,2500,1472
values_75,6766,2500,1472
values_57,6704,2524,1472
values_88,6702,2524,1472
values_10,6858,2500,1472
values_53,7584,2508,1472
values_8,7428,2508,1472
values_39,6708,2524,1472
values_47,6704,2524,1472
values_60,7106,2508,1472
values_89,6584,2500,1472
values_51,6716,2516,1472
values_14,6714,2516,1472
values_28,6700,2524,1472
values_16,6702,2524,1472
values_34,7584,2508,1472
values_82,6486,2500,1472
values_46,6716,2516,1472
values_27,6716,2516,1472
values_20,6712,2516,1472
values_9,7106,2508,1472
values_92,7190,2508,1472
values_3,6716,2516,1472
values_98,6488,2500,1472
values_29,6702,2524,1472
values_80,7026,2508,1472
values_73,7584,2508,1472
