inputName,text,data,bss
values_11,2436,60,0
values_19,492,72,0
values_12,1460,32,0
values_38,1176,24,0
values_81,492,128,0
values_5,492,108,0
values_40,1300,28,0
values_70,492,88,0
values_23,492,128,0
values_72,2592,64,0
values_79,492,96,0
values_78,1828,44,0
values_87,1176,24,0
values_6,492,84,0
values_68,492,116,0
values_69,1012,20,0
values_1,492,92,0
values_45,492,80,0
values_33,2128,52,0
values_15,460,8,0
values_93,1460,32,0
values_24,492,128,0
values_25,672,12,0
values_26,848,16,0
values_48,848,16,0
values_71,492,92,0
values_76,672,12,0
values_7,492,108,0
values_50,492,96,0
values_22,1176,24,0
values_4,492,104,0
values_32,492,88,0
values_77,1012,20,0
values_91,1012,20,0
values_42,492,76,0
values_13,2284,56,0
values_41,492,72,0
values_55,1672,40,0
values_31,1300,28,0
values_66,492,76,0
values_65,492,72,0
values_62,492,76,0
values_21,492,84,0
values_95,492,72,0
values_84,492,88,0
values_58,492,112,0
values_64,492,104,0
values_83,1176,24,0
values_94,492,128,0
values_0,1012,20,0
values_99,1828,44,0
values_96,672,12,0
values_67,492,80,0
values_61,492,80,0
values_43,1672,40,0
values_2,1672,40,0
values_54,492,84,0
values_30,2896,68,0
values_59,1620,36,0
values_85,1176,24,0
values_74,2128,52,0
values_90,492,108,0
values_18,492,92,0
values_52,492,100,0
values_44,2592,64,0
values_17,460,8,0
values_36,1176,24,0
values_49,2128,52,0
values_86,2592,64,0
values_37,672,12,0
values_56,492,120,0
values_63,492,120,0
values_35,2896,68,0
values_97,672,12,0
values_75,492,120,0
values_57,492,128,0
values_88,2436,60,0
values_10,492,84,0
values_53,848,16,0
values_8,460,8,0
values_39,492,84,0
values_47,2896,68,0
values_60,492,92,0
values_89,1012,20,0
values_51,492,108,0
values_14,672,12,0
values_28,492,76,0
values_16,492,84,0
values_34,492,128,0
values_82,2592,64,0
values_46,1300,28,0
values_27,492,124,0
values_20,492,104,0
values_9,672,12,0
values_92,1828,44,0
values_3,492,72,0
values_98,492,96,0
values_29,492,100,0
values_80,1620,36,0
values_73,1828,44,0
