id,clockCycles,assemblyInstr,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,4002,2672,583,3027,3196,1483,100.00,100.00,100.00,100.00,6.864,1.322,1.252,2.699
values_19,4870,3287,360,1819,1908,12191,100.00,100.00,100.00,100.00,13.528,2.677,2.552,0.399
values_12,664,477,74,313,317,1289,100.00,100.00,100.00,100.00,8.973,2.121,2.095,0.515
values_38,667,479,73,312,316,1288,100.00,100.00,100.00,100.00,9.137,2.138,2.111,0.518
values_81,5863,3904,859,4538,4812,2234,100.00,100.00,100.00,100.00,6.825,1.292,1.218,2.624
values_5,4004,2676,585,3029,3198,1485,100.00,100.00,100.00,100.00,6.844,1.322,1.252,2.696
values_40,824,608,89,405,413,2387,100.00,100.00,100.00,100.00,9.258,2.035,1.995,0.345
values_70,158,97,27,95,93,86,100.00,100.00,100.00,100.00,5.852,1.663,1.699,1.837
values_23,830,618,93,409,417,2391,100.00,100.00,100.00,100.00,8.925,2.029,1.990,0.347
values_72,2071,1491,195,919,953,4011,100.00,100.00,100.00,100.00,10.621,2.254,2.173,0.516
values_79,5464,3642,801,4213,4464,2073,100.00,100.00,100.00,100.00,6.821,1.297,1.224,2.636
values_78,5547,3722,404,2040,2143,13663,100.00,100.00,100.00,100.00,13.730,2.719,2.588,0.406
values_87,2068,1487,194,918,952,4010,100.00,100.00,100.00,100.00,10.660,2.253,2.172,0.516
values_6,5088,3407,754,3909,4138,1927,100.00,100.00,100.00,100.00,6.748,1.302,1.230,2.640
values_68,290,181,56,228,229,620,100.00,100.00,100.00,100.00,5.179,1.272,1.266,0.468
values_69,2067,1484,192,916,950,4008,100.00,100.00,100.00,100.00,10.766,2.257,2.176,0.516
values_1,3674,2457,536,2763,2914,1353,100.00,100.00,100.00,100.00,6.854,1.330,1.261,2.715
values_45,5541,3712,396,2032,2135,13655,100.00,100.00,100.00,100.00,13.992,2.727,2.595,0.406
values_33,5865,3908,861,4540,4814,2236,100.00,100.00,100.00,100.00,6.812,1.292,1.218,2.623
values_15,7131,4718,1032,5572,5921,2740,100.00,100.00,100.00,100.00,6.910,1.280,1.204,2.603
values_93,7598,5040,1110,5957,6333,2937,100.00,100.00,100.00,100.00,6.845,1.275,1.200,2.587
values_24,3673,2455,535,2762,2913,1352,100.00,100.00,100.00,100.00,6.865,1.330,1.261,2.717
values_25,3614,2502,291,1426,1490,8193,100.00,100.00,100.00,100.00,12.419,2.534,2.426,0.441
values_26,2505,1774,222,1073,1116,5183,100.00,100.00,100.00,100.00,11.284,2.335,2.245,0.483
values_48,2504,1772,221,1072,1115,5182,100.00,100.00,100.00,100.00,11.330,2.336,2.246,0.483
values_71,1289,966,140,640,659,2182,100.00,100.00,100.00,100.00,9.207,2.014,1.956,0.591
values_76,2065,1483,193,917,951,4009,100.00,100.00,100.00,100.00,10.699,2.252,2.171,0.515
values_7,4870,3291,360,1819,1908,12191,100.00,100.00,100.00,100.00,13.528,2.677,2.552,0.399
values_50,4895,3320,374,1833,1922,12205,100.00,100.00,100.00,100.00,13.088,2.670,2.547,0.401
values_22,2977,2087,255,1243,1296,6572,100.00,100.00,100.00,100.00,11.675,2.395,2.297,0.453
values_4,1643,1201,162,769,795,3026,100.00,100.00,100.00,100.00,10.142,2.137,2.067,0.543
values_32,827,612,90,406,414,2388,100.00,100.00,100.00,100.00,9.189,2.037,1.998,0.346
values_77,1039,773,114,517,530,1509,100.00,100.00,100.00,100.00,9.114,2.010,1.960,0.689
values_91,5880,3938,876,4555,4829,2251,100.00,100.00,100.00,100.00,6.712,1.291,1.218,2.612
values_42,6282,4187,925,4881,5179,2407,100.00,100.00,100.00,100.00,6.791,1.287,1.213,2.610
values_13,7607,5058,1119,5966,6342,2946,100.00,100.00,100.00,100.00,6.798,1.275,1.199,2.582
values_41,663,475,73,312,316,1288,100.00,100.00,100.00,100.00,9.082,2.125,2.098,0.515
values_55,5455,3624,792,4204,4455,2064,100.00,100.00,100.00,100.00,6.888,1.298,1.224,2.643
values_31,6698,4445,976,5219,5542,2569,100.00,100.00,100.00,100.00,6.863,1.283,1.209,2.607
values_66,294,183,55,227,228,619,100.00,100.00,100.00,100.00,5.345,1.295,1.289,0.475
values_65,290,181,56,228,229,620,100.00,100.00,100.00,100.00,5.179,1.272,1.266,0.468
values_62,5083,3397,749,3904,4133,1922,100.00,100.00,100.00,100.00,6.786,1.302,1.230,2.645
values_21,1290,966,139,639,658,2181,100.00,100.00,100.00,100.00,9.281,2.019,1.960,0.591
values_95,7151,4758,1052,5592,5941,2760,100.00,100.00,100.00,100.00,6.798,1.279,1.204,2.591
values_84,7146,4748,1047,5587,5936,2755,100.00,100.00,100.00,100.00,6.825,1.279,1.204,2.594
values_58,8078,5369,1189,6353,6757,3139,100.00,100.00,100.00,100.00,6.794,1.272,1.196,2.573
values_64,160,100,28,96,94,87,100.00,100.00,100.00,100.00,5.714,1.667,1.702,1.839
values_83,4190,2867,324,1616,1692,10058,100.00,100.00,100.00,100.00,12.932,2.593,2.476,0.417
values_94,5076,3383,742,3897,4126,1915,100.00,100.00,100.00,100.00,6.841,1.303,1.230,2.651
values_0,6228,4154,443,2266,2384,16264,100.00,100.00,100.00,100.00,14.059,2.748,2.612,0.383
values_99,1285,960,138,638,657,2180,100.00,100.00,100.00,100.00,9.312,2.014,1.956,0.589
values_96,4198,2877,330,1622,1698,10064,100.00,100.00,100.00,100.00,12.721,2.588,2.472,0.417
values_67,2065,1476,188,912,946,4004,100.00,100.00,100.00,100.00,10.984,2.264,2.183,0.516
values_61,665,475,71,310,314,1286,100.00,100.00,100.00,100.00,9.366,2.145,2.118,0.517
