inputName,text,data,bss
values_11,750,216,0
values_19,750,216,0
values_12,750,248,0
values_38,1022,32,0
values_81,724,112,0
values_5,1022,48,0
values_40,750,240,0
values_70,750,152,0
values_23,750,232,0
values_72,750,168,0
values_79,1022,32,0
values_78,1022,32,0
values_87,1022,72,0
values_6,750,256,0
values_68,724,120,0
values_69,724,104,0
values_1,724,128,0
values_45,1022,72,0
values_33,724,104,0
values_15,1022,56,0
values_93,724,96,0
values_24,1022,56,0
values_25,750,184,0
values_26,1022,40,0
values_48,1022,64,0
values_71,724,104,0
values_76,750,256,0
values_7,750,248,0
values_50,436,16,0
values_22,750,176,0
values_4,724,136,0
values_32,750,152,0
values_77,724,136,0
values_91,750,248,0
values_42,724,136,0
values_13,724,112,0
values_41,724,136,0
values_55,750,152,0
values_31,724,112,0
values_66,724,128,0
values_65,750,256,0
values_62,1022,24,0
values_21,750,144,0
values_95,750,184,0
values_84,750,184,0
values_58,750,168,0
values_64,750,224,0
values_83,1022,72,0
values_94,436,16,0
values_0,750,208,0
values_99,1022,48,0
values_96,750,224,0
values_67,750,184,0
values_61,750,216,0
values_43,724,120,0
values_2,724,120,0
values_54,750,200,0
values_30,436,16,0
values_59,750,176,0
values_85,750,176,0
values_74,746,88,0
values_90,1022,64,0
values_18,750,152,0
values_52,1022,24,0
values_44,750,168,0
values_17,750,168,0
values_36,724,112,0
values_49,724,136,0
values_86,436,16,0
values_37,1022,40,0
values_56,746,88,0
values_63,724,112,0
values_35,436,16,0
values_97,750,232,0
values_75,750,224,0
values_57,750,240,0
values_88,750,224,0
values_10,1022,56,0
values_53,984,80,0
values_8,724,128,0
values_39,750,176,0
values_47,750,160,0
values_60,750,232,0
values_89,724,112,0
values_51,1022,48,0
values_14,750,176,0
values_28,1022,24,0
values_16,750,240,0
values_34,1022,40,0
values_82,750,224,0
values_46,724,104,0
values_27,750,176,0
values_20,1022,48,0
values_9,750,232,0
values_92,1022,72,0
values_3,750,152,0
values_98,750,160,0
values_29,750,160,0
values_80,724,112,0
values_73,750,256,0
