inputName,size,a[size]
values_11,4,"{8274310025049877575, 50756255800404891, -6805914987236170190, 3889601171073691905"
values_19,25,"{-7655579757780570619, 5198715706121650223, 7423826836459282429, 4555544608298729940, 755558644967875925, -5767228492748103666, -8110549139862540699, -235014093963032389, 6003918089316279276, 8033347744996119458, -7725939287467997388, 8388979423901809961, 1990210682734949706, 7552155153828756116, 6347335676150317166, -5370642493925484742, -1393081569665541829, -5603541791251296583, 2399865400862628699, -7654939562531557565, 2377439029485977518, -2827058061307028129, -6039017614582989949, -7669096796667680272, -2570643977581930226"
values_12,11,"{-3420015738947792893, -21619479097522434, 7331432919702615611, 5375365356583154181, 1223310261449120967, 5493566641859001512, 6966967845072990106, 1968590549121241878, 5279806341008029726, 7078217682806770356, 7317020924199293709"
values_38,17,"{8067974012256336774, 8080652105979122915, 8381748238069009845, 2953913823273964416, 4784711695129827131, 6901629648493467473, -3495035387628619206, 3101052814829721436, -264730554059869756, -6341597029932452922, 7892034390622039804, -5043280483195721653, 2418137189178985819, -5126512356287607434, 1500511008372217736, -6658254526965989956, -8417077286180873741"
values_81,31,"{-5051627215828794823, 3417374150757171907, -8534100125834875130, -1985047811726518926, -3546890538788779814, 4959998977573812220, 2216533190306846175, 7002323368143766349, -8257681003846282676, -6172186313679272717, 5973947742637829808, 1261802206140522088, -566135784728185298, 6580434017902489453, 5270303017720466399, -4831961181674702308, 2840548901902381415, -7672933912137741009, 6489735559996540992, -7564771944944786175, 6243576093111821396, -8064011325893763074, -1080878708980408239, 2628243600399466747, 3355692150814063862, -8907404655669000263, 1214842433466165552, -2357989944499380772, 1001147011598438772, -3967222656123450987, -8664008783443850843"
values_5,31,"{9189351412710144107, -3030662625931373147, -4332081812660112223, -5749746365198974650, 3668114031535800423, -4864770913378562556, 7757692457231513404, 8093964626204665583, 4301389135141495883, 8199697303486231796, 518091716353884222, 2802755240672825678, 9010522886226337091, -5085965259435027193, 1719094877194395140, -2397235478769672099, -5696696395947784730, 5455450961225116066, -5046634877451804312, 6671403231212721212, -5551083660813885598, 708125983359648015, 564214936376644667, -636157741795561504, 828057828434154486, 4616534741825499463, -6180427299060205313, 5982685052009897306, -5334361192992165788, -3850593351848360575, 387162198634014718"
values_40,24,"{7440968683709688983, 6157877780075236943, -5547332147113723327, 2031759235699052418, -4885644503273278288, -1482742507540036010, -609218925664835185, 8429925752142319905, 5647327398530405987, -325100931562870875, 7857857217742487665, 1916931163210279634, 4582218593793511071, 3671808334798707299, 5775866667316565669, -4335627723520776231, 489053601306315816, -4626172588359956565, 2106742450862327078, -6861108394930679782, -8392135983952180899, 8217348129354355360, -8047965445636485405, 7476054769482090871"
values_70,30,"{3811967213241642337, -8847461699989703145, -2125160760286420919, 5315301894423891041, 5338897631262436686, 2214089866950950129, 3989044475824620296, 4275472470197209810, 8479099791279440408, 2391758907509042892, 8273954511338490454, 7382148246775938157, -125463312479182066, 7975810650660444708, 2814945470395551875, 284398675468363056, -5330413784448773675, 235334594202025039, -7843080686081074240, 6244463891294124013, 916428777527135025, 7199827642964545108, -7478890301018498171, -4729585699530175361, -3575638946894255543, 2837612382745582841, 3415399298282630252, -5936787131640367164, 263350387080318463, -852907006785482171"
values_23,25,"{-2624418640490620553, -5056690718783005698, -4137761676514051693, -7597638041396205645, 7724247505515275108, 5903302896603603533, 4710979250198596347, 8309222010772304798, -5758149535414365545, -1861558085237366438, 8298408951650948285, -1644257643000105951, -1960007232339909078, -7358002019112436927, -1981685401884253306, 1497062868942672364, 2553993070906089464, -6141607594786370838, 1489588281882375729, 1376781270315622615, 5061312788169812637, 859860956863051532, -5419823950679427119, -5912468585889477727, 7677612400072005647"
values_72,8,"{-6460661683572567679, 1551128752539451232, -978226342096983723, -307842233230998820, -9011710957799337677, 1152002909455702257, 7698118788853377476, -3900752174688258903"
values_79,8,"{1361491553784685280, 4900369026166745969, 8896535247420357025, 1545000861853428097, -1210554285861527630, -9014657192262087670, -8047208352680393834, 5739033028393599027"
values_78,7,"{-4956288973436650451, 2627313842031468171, -1967444118862982372, -7692682822754447700, 1242657537318315421, 3374710733826567213, 76172165486078136"
