id,clockCycles,assemblyInstr,cacheHit,cacheHitInstr,cacheHitData,MOPS,MIPS,MFLOPS,cInstr,cGimple,cReleaseSSA,cOptimized,LineExe,BranchesExe,OnceEe,CallExe,cc4cs,cc4ir,cc4ssa,cc4opt
values_11,5065,1881,87.9,88.2,84.7,18.57,18.57,0.00,194,918,952,4010,100.00,100.00,100.00,100.00,26.108,5.517,5.320,1.263
values_19,5896,2378,90.2,90.2,89.9,20.17,20.17,0.00,323,1615,1691,10057,100.00,100.00,100.00,100.00,18.254,3.651,3.487,0.586
values_12,5463,2126,89.1,89.3,87.4,19.46,19.46,0.00,262,1250,1303,6579,100.00,100.00,100.00,100.00,20.851,4.370,4.193,0.830
values_38,8738,4886,96.0,96.1,94.8,27.96,27.96,0.00,748,3903,4132,2496,100.00,100.00,100.00,100.00,11.682,2.239,2.115,3.501
values_81,4494,1587,86.4,87.0,77.5,17.66,17.66,0.00,112,515,528,1507,100.00,100.00,100.00,100.00,40.125,8.726,8.511,2.982
values_5,12408,7618,97.4,97.5,96.9,30.70,30.70,0.00,1240,6731,7164,4340,100.00,100.00,100.00,100.00,10.006,1.843,1.732,2.859
values_40,6952,3548,94.4,94.6,92.4,25.52,25.52,0.00,485,2505,2639,1583,100.00,100.00,100.00,100.00,14.334,2.775,2.634,4.392
values_70,8731,4879,96.0,96.1,94.8,27.94,27.94,0.00,741,3896,4125,2489,100.00,100.00,100.00,100.00,11.783,2.241,2.117,3.508
values_23,4119,1351,83.9,85.0,64.2,16.40,16.40,0.00,56,228,229,620,100.00,100.00,100.00,100.00,73.554,18.066,17.987,6.644
values_72,7279,3799,94.8,95.0,93.0,26.10,26.10,0.00,541,2768,2919,1757,100.00,100.00,100.00,100.00,13.455,2.630,2.494,4.143
values_79,6649,3329,94.0,94.3,91.6,25.03,25.03,0.00,451,2274,2392,16272,100.00,100.00,100.00,100.00,14.743,2.924,2.780,0.409
values_78,5056,1875,87.8,88.1,84.7,18.54,18.54,0.00,191,915,949,4007,100.00,100.00,100.00,100.00,26.471,5.526,5.328,1.262
values_87,5066,1883,87.9,88.2,84.7,18.58,18.58,0.00,195,919,953,4011,100.00,100.00,100.00,100.00,25.979,5.513,5.316,1.263
values_6,5280,1992,88.4,88.6,86.4,18.86,18.86,0.00,224,1075,1118,5185,100.00,100.00,100.00,100.00,23.571,4.912,4.723,1.018
values_68,10928,6522,97.0,97.1,96.2,29.84,29.84,0.00,1059,5599,5948,3607,100.00,100.00,100.00,100.00,10.319,1.952,1.837,3.030
values_69,4815,1762,87.4,87.8,82.6,18.30,18.30,0.00,161,768,794,3025,100.00,100.00,100.00,100.00,29.907,6.270,6.064,1.592
values_1,7621,4051,95.1,95.3,93.4,26.58,26.58,0.00,588,3032,3201,1928,100.00,100.00,100.00,100.00,12.961,2.514,2.381,3.953
values_45,12408,7623,97.4,97.5,96.9,30.72,30.72,0.00,1245,6736,7169,4345,100.00,100.00,100.00,100.00,9.966,1.842,1.731,2.856
values_33,11402,6874,97.2,97.2,96.5,30.14,30.14,0.00,1116,5963,6339,3842,100.00,100.00,100.00,100.00,10.217,1.912,1.799,2.968
values_15,5291,1998,88.4,88.5,86.4,18.88,18.88,0.00,224,1075,1118,5185,100.00,100.00,100.00,100.00,23.621,4.922,4.733,1.020
values_93,8736,4884,96.0,96.1,94.8,27.95,27.95,0.00,746,3901,4130,2494,100.00,100.00,100.00,100.00,11.710,2.239,2.115,3.503
values_24,7969,4309,95.4,95.6,93.9,27.04,27.04,0.00,631,3302,3490,2101,100.00,100.00,100.00,100.00,12.629,2.413,2.283,3.793
values_25,3813,1278,84.3,85.7,55.6,16.76,16.76,0.00,16,47,61,36,100.00,100.00,83.33,100.00,238.312,81.128,62.508,105.917
values_26,4508,1591,86.3,87.0,77.5,17.65,17.65,0.00,115,518,531,1510,100.00,100.00,100.00,100.00,39.200,8.703,8.490,2.985
values_48,4113,1348,83.8,85.0,64.2,16.39,16.39,0.00,55,227,228,619,100.00,100.00,100.00,100.00,74.782,18.119,18.039,6.645
values_71,3889,1296,84.3,85.6,59.4,16.66,16.66,0.00,28,96,94,87,100.00,100.00,100.00,100.00,138.893,40.510,41.372,44.701
values_76,6956,3558,94.4,94.7,92.4,25.58,25.58,0.00,495,2515,2649,1593,100.00,100.00,100.00,100.00,14.053,2.766,2.626,4.367
values_7,7973,4313,95.4,95.6,93.9,27.05,27.05,0.00,635,3306,3494,2105,100.00,100.00,100.00,100.00,12.556,2.412,2.282,3.788
values_50,12412,7628,97.4,97.5,96.9,30.73,30.73,0.00,1250,6741,7174,4350,100.00,100.00,100.00,100.00,9.930,1.841,1.730,2.853
values_22,12429,7645,97.4,97.5,96.9,30.75,30.75,0.00,1267,6758,7191,4367,100.00,100.00,100.00,100.00,9.810,1.839,1.728,2.846
values_4,10438,6154,96.8,96.9,96.1,29.48,29.48,0.00,976,5219,5542,3352,100.00,100.00,100.00,100.00,10.695,2.000,1.883,3.114
values_32,7978,4318,95.4,95.6,93.9,27.06,27.06,0.00,640,3311,3499,2110,100.00,100.00,100.00,100.00,12.466,2.410,2.280,3.781
values_77,10445,6161,96.8,96.9,96.1,29.49,29.49,0.00,983,5226,5549,3359,100.00,100.00,100.00,100.00,10.626,1.999,1.882,3.110
values_91,7970,4306,95.4,95.6,93.9,27.01,27.01,0.00,628,3299,3487,2098,100.00,100.00,100.00,100.00,12.691,2.416,2.286,3.799
values_42,9570,5510,96.4,96.6,95.5,28.79,28.79,0.00,872,4551,4825,2922,100.00,100.00,100.00,100.00,10.975,2.103,1.983,3.275
values_13,10450,6166,96.8,96.9,96.1,29.50,29.50,0.00,988,5231,5554,3364,100.00,100.00,100.00,100.00,10.577,1.998,1.882,3.106
values_41,9977,5807,96.6,96.7,95.8,29.10,29.10,0.00,904,4860,5158,3114,100.00,100.00,100.00,100.00,11.037,2.053,1.934,3.204
values_55,11396,6868,97.2,97.2,96.5,30.13,30.13,0.00,1110,5957,6333,3836,100.00,100.00,100.00,100.00,10.267,1.913,1.799,2.971
values_31,9135,5181,96.2,96.3,95.2,28.36,28.36,0.00,798,4210,4461,2694,100.00,100.00,100.00,100.00,11.447,2.170,2.048,3.391
values_66,4499,1585,86.2,86.9,77.5,17.62,17.62,0.00,114,517,530,1509,100.00,100.00,100.00,100.00,39.465,8.702,8.489,2.981
values_65,6123,2535,90.8,90.8,90.9,20.70,20.70,0.00,365,1824,1913,12196,100.00,100.00,100.00,100.00,16.775,3.357,3.201,0.502
values_62,10924,6518,97.0,97.1,96.2,29.83,29.83,0.00,1055,5595,5944,3603,100.00,100.00,100.00,100.00,10.355,1.952,1.838,3.032
values_21,11396,6868,97.2,97.2,96.5,30.13,30.13,0.00,1110,5957,6333,3836,100.00,100.00,100.00,100.00,10.267,1.913,1.799,2.971
values_95,7273,3793,94.8,95.0,93.0,26.08,26.08,0.00,535,2762,2913,1751,100.00,100.00,100.00,100.00,13.594,2.633,2.497,4.154
values_84,11899,7245,97.3,97.4,96.7,30.44,30.44,0.00,1182,6346,6750,4092,100.00,100.00,100.00,100.00,10.067,1.875,1.763,2.908
values_58,5896,2384,90.2,90.2,89.9,20.22,20.22,0.00,324,1616,1692,10058,100.00,100.00,100.00,100.00,18.198,3.649,3.485,0.586
values_64,5445,2114,89.2,89.3,87.4,19.41,19.41,0.00,256,1244,1297,6573,100.00,100.00,100.00,100.00,21.270,4.377,4.198,0.828
values_83,6098,2517,90.7,90.7,90.9,20.64,20.64,0.00,357,1816,1905,12188,100.00,100.00,100.00,100.00,17.081,3.358,3.201,0.500
values_94,6386,2688,91.2,91.1,91.2,21.05,21.05,0.00,401,2037,2140,13660,100.00,100.00,100.00,100.00,15.925,3.135,2.984,0.467
values_0,5896,2390,90.3,90.3,89.9,20.27,20.27,0.00,329,1621,1697,10063,100.00,100.00,100.00,100.00,17.921,3.637,3.474,0.586
values_99,5072,1875,87.7,88.0,84.7,18.48,18.48,0.00,191,915,949,4007,100.00,100.00,100.00,100.00,26.555,5.543,5.345,1.266
values_96,9152,5194,96.2,96.3,95.2,28.38,28.38,0.00,811,4223,4474,2707,100.00,100.00,100.00,100.00,11.285,2.167,2.046,3.381
values_67,9978,5808,96.6,96.7,95.8,29.10,29.10,0.00,905,4861,5159,3115,100.00,100.00,100.00,100.00,11.025,2.053,1.934,3.203
values_61,4683,1672,86.6,87.1,80.3,17.85,17.85,0.00,138,638,657,2180,100.00,100.00,100.00,100.00,33.935,7.340,7.128,2.148
values_43,3986,1318,84.1,85.3,61.1,16.53,16.53,0.00,40,155,154,253,100.00,100.00,100.00,100.00,99.650,25.716,25.883,15.755
values_2,3984,1316,84.1,85.3,61.1,16.52,16.52,0.00,41,156,155,254,100.00,100.00,100.00,100.00,97.171,25.538,25.703,15.685
values_54,9557,5497,96.4,96.5,95.5,28.76,28.76,0.00,859,4538,4812,2909,100.00,100.00,100.00,100.00,11.126,2.106,1.986,3.285
values_30,5614,2229,89.7,89.8,88.8,19.85,19.85,0.00,285,1420,1484,8187,100.00,100.00,100.00,100.00,19.698,3.954,3.783,0.686
values_59,7972,4312,95.4,95.6,93.9,27.04,27.04,0.00,634,3305,3493,2104,100.00,100.00,100.00,100.00,12.574,2.412,2.282,3.789
values_85,4508,1591,86.3,87.0,77.5,17.65,17.65,0.00,115,518,531,1510,100.00,100.00,100.00,100.00,39.200,8.703,8.490,2.985
values_74,4787,1762,87.6,88.0,82.6,18.40,18.40,0.00,162,769,795,3026,100.00,100.00,100.00,100.00,29.549,6.225,6.021,1.582
values_90,4232,1454,85.4,86.3,70.7,17.18,17.18,0.00,75,314,318,1290,100.00,100.00,100.00,100.00,56.427,13.478,13.308,3.281
values_18,4667,1672,86.8,87.3,80.3,17.91,17.91,0.00,139,639,658,2181,100.00,100.00,100.00,100.00,33.576,7.304,7.093,2.140
values_52,3889,1295,84.3,85.6,59.4,16.65,16.65,0.00,27,95,93,86,100.00,100.00,100.00,100.00,144.037,40.937,41.817,45.221
values_44,4688,1670,86.6,87.1,80.3,17.81,17.81,0.00,136,636,655,2178,100.00,100.00,100.00,100.00,34.471,7.371,7.157,2.152
values_17,11415,6887,97.2,97.2,96.5,30.17,30.17,0.00,1129,5976,6352,3855,100.00,100.00,100.00,100.00,10.111,1.910,1.797,2.961
values_36,4534,1599,86.3,86.9,77.5,17.63,17.63,0.00,118,521,534,1513,100.00,100.00,100.00,100.00,38.424,8.702,8.491,2.997
values_49,8731,4879,96.0,96.1,94.8,27.94,27.94,0.00,741,3896,4125,2489,100.00,100.00,100.00,100.00,11.783,2.241,2.117,3.508
values_86,6956,3558,94.4,94.7,92.4,25.58,25.58,0.00,495,2515,2649,1593,100.00,100.00,100.00,100.00,14.053,2.766,2.626,4.367
